# **S.energy	elast	eps_norm	eps_x	eps_y	eps_z	gradVWork	i	kinetic	nonviscDamp	plast	q	sigM	sig_norm	sig_x	sig_y	sig_z	step	t	unbE	unbF
nan	7.33882380592e-05	0.00257810019496	0.000147109877389	0.000624949227686	-0.00249687760254	-2.89753514542e-05	6900	1.2198195826e-10	4.75388295857e-06	1.09001493494e-05	-12893.4757318	-54430.6599906	94862.650841	-50133.0081833	-50132.4878735	-63026.4839151	0	0.00451293489861	1.66214588994e-06	1.61256761998e-05
nan	7.33534874922e-05	0.00257846244906	0.000148351179714	0.000626149156854	-0.00249687760254	-2.89410066439e-05	7000	1.21647742089e-10	4.75388373011e-06	1.09001494744e-05	-12901.6875175	-54412.6042615	94832.3206526	-50112.2551125	-50111.6150419	-63013.9426301	0	0.00457834419261	1.65837707583e-06	1.02749575404e-05
nan	7.33809258465e-05	0.00257816121446	0.000147452473924	0.00062512019132	-0.00249687760254	-2.89688151459e-05	7100	1.21277516549e-10	4.75388451885e-06	1.09001494924e-05	-12895.7612569	-54426.603806	94855.8230362	-50127.8016276	-50128.446906	-63023.5628845	0	0.004643753451	1.65271172515e-06	6.88606878563e-06
nan	7.33866164401e-05	0.00257810220747	0.000147247950029	0.000624925012543	-0.00249687760254	-2.89738737421e-05	7200	1.20970925972e-10	4.75388478488e-06	1.09001496876e-05	-12894.3699763	-54429.8066669	94861.2098149	-50131.4654614	-50132.1191016	-63025.8354377	0	0.00470916273693	1.64840582439e-06	5.85923489606e-06
nan	7.33597751936e-05	0.00257839643871	0.000148128504876	0.000625930011366	-0.00249687760254	-2.89472269162e-05	7300	1.20447787936e-10	4.75388545065e-06	1.09001502328e-05	-12900.1899981	-54415.8794565	94837.8212579	-50116.0200603	-50115.4082507	-63016.2100584	0	0.00477457202971	1.64187782226e-06	1.40863282915e-05
nan	7.33768615559e-05	0.00257821542167	0.000147533505764	0.000625324606235	-0.00249687760254	-2.89646549918e-05	7400	1.19728679383e-10	4.75388635615e-06	1.09001509785e-05	-12896.2196931	-54424.5552981	94852.3816841	-50125.9187115	-50125.6087783	-63022.1384046	0	0.00483998129494	1.63169528983e-06	1.05305715981e-05
nan	7.33846274789e-05	0.0025781274082	0.000147294602226	0.000625017976546	-0.00249687760254	-2.89719834759e-05	7500	1.18733809292e-10	4.7538873309e-06	1.09001515813e-05	-12894.7165273	-54428.7158408	94859.3797535	-50130.3785103	-50130.6739745	-63025.0950376	0	0.00490539057655	1.61796568806e-06	1.08633080066e-05
nan	7.33646945592e-05	0.00257833689385	0.000147997010001	0.000625715799014	-0.00249687760254	-2.89521166091e-05	7600	1.18327702592e-10	4.7538879412e-06	1.09001516406e-05	-12899.358169	-54418.4250436	94842.0964516	-50118.613632	-50118.6896978	-63017.9718011	0	0.00497079986716	1.61286983204e-06	9.04989568697e-06
nan	7.33745111435e-05	0.00257823495577	0.000147644156155	0.000625379027676	-0.00249687760254	-2.89622233728e-05	7700	1.1802945934e-10	4.75388829757e-06	1.09001516713e-05	-12896.9747594	-54423.3708104	94850.3948274	-50124.362004	-50124.4136639	-63021.3367634	0	0.00503620913715	1.60858937935e-06	5.21560857603e-06
nan	7.33826524461e-05	0.00257815170501	0.000147344999316	0.000625106313489	-0.00249687760254	-2.89700744862e-05	7800	1.17555072837e-10	4.75388881482e-06	1.09001517556e-05	-12895.0208563	-54427.6762726	94857.6320443	-50129.3417439	-50129.3244737	-63024.3626003	0	0.00510161841676	1.60194635814e-06	6.76769167071e-06
